agreement_id,title_short,year,weapon_broad,actual_score,llm_score,llm_confidence,llm_reasoning
3,Rush-Bagot Agreement,1817,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSdfTfQwjqJQbem3ya'}"
6,Saint Petersburg Declaration,1868,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSe1o6tngWJ9iLjPjz'}"
7,Algeciras Agreement,1906,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSeM8wqwoa5UkBcfZk'}"
8,Treaty of Versailles,1919,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSefyiq35Db4dCXkf4'}"
10,Four Power Treaty,1921,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSf2ownCwQPaK5d5pi'}"
20,"Five Power Treaty, Naval Limitation Treaty",1922,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSfW65e2VdpBAKfTvv'}"
25,The Convention for the Control of the Trade in Arms and Ammunition.,1925,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSfpSJipik2NvKdneh'}"
251,"Protocol for the prohibition of the use in war of asphyxiating, poisonous or other gases, and of bacteriological methods of warfare",1925,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSgFywYBnGY2i5S6Zr'}"
301,London Naval Treaty,1930,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSh2N66AadKWqBrWur'}"
302,"Second London Naval Treaty, The 1936 London Naval Treaty",1936,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWShd5e9e2AfdxQU2q8'}"
40,Genocide Convention,1948,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSi6MkBeQCtEgcXqGh'}"
50,Antarctic Treaty,1959,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSimncExMm1Jxz3KCu'}"
601,Hot Line Agreement,1963,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSjjLN3aZUJ2XYvUce'}"
602,Hot Line Modernization Agreement,1971,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSkM3YeZ5wZKTZEdr1'}"
603,Hot Line Expansion Agreement,1984,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSkgPDc3uZaosz4P3R'}"
604,Hotline Update Agreement,1988,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSm2DtYh8xniFqSSxs'}"
62,The Partial(Limited) Test Ban Treaty (PTBT/LTBT),1963,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSmPoAwnoYmc8XLmWC'}"
70,Treaty of Tlatelolco,1967,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSms5H9TZR9Hw9kia7'}"
70001,Protocol I to the Treaty of Tlatelolco,1967,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSnLbxwRmYLGth72WZ'}"
70002,Protocol II to the Treaty of Tlatelolco,1967,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSnhgX915DryaFRNgC'}"
70003,Treaty for the Prohibition of Nuclear Weapons in Latin America and the Caribbean pursuant to resolution 267 (EV),1990,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSsZdCs2ttS7t5Qy8D'}"
70004,Treaty for the Prohibition of Nuclear Weapons in Latin America and the Caribbean pursuant to resolution 268 (XII),1991,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSt49KhrbZ6jfffdxC'}"
